#{"t_start": 1663264144.8137004, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
92.108597,10,0.28424
73.415649,8,0.287312
82.67251,9,0.290661
73.181818,8,0.293606
91.939207,10,0.297174
73.664444,8,0.300045
92.522587,10,0.303578
91.317478,10,0.307122
63.805287,7,0.309661
111.051378,12,0.313855
82.299371,9,0.593213
110.634583,12,0.597434
63.880173,7,0.599979
101.613566,11,0.603848
63.97572,7,0.606372
91.837545,10,0.609882
82.588632,9,0.613063
73.543827,8,0.615946
83.060401,9,0.619133
72.994811,8,0.621991
138.915272,15,0.898875
101.357494,11,0.902762
101.325725,11,0.906627
73.34962,8,0.909511
82.420683,9,0.912711
63.997923,7,0.91524
82.69085,9,0.918444
92.060193,10,0.921953
82.525228,9,0.925127
120.145693,13,0.929639
73.592684,8,1.206929
129.450952,14,1.211865
82.531179,9,1.215103
72.740165,8,1.218003
64.119109,7,1.220545
63.842734,7,1.223083
73.053622,8,1.225951
92.191584,10,1.229492
64.116717,7,1.232036
120.560205,13,1.236572
92.572591,10,1.516052
148.039517,16,1.521698
101.293052,11,1.525614
73.225666,8,1.528535
119.991913,13,1.533133
73.422273,8,1.536049
82.090383,9,1.53929
73.061555,8,1.542181
92.253458,10,1.545754
63.962189,7,1.548335
147.752925,16,1.827438
101.8355,11,1.83139
92.538113,10,1.834991
64.092548,7,1.837571
72.96967,8,1.840468
91.957536,10,1.844051
82.62253,9,1.847306
73.640129,8,1.850209
110.923241,12,1.854451
63.926206,7,1.857063
73.298508,8,2.135463
73.103454,8,2.138439
91.546124,10,2.142054
101.785117,11,2.145998
73.441385,8,2.148915
63.670249,7,2.151491
139.377322,15,2.15678
120.155853,13,2.161371
73.075574,8,2.164289
82.325872,9,2.167542
91.871313,10,2.446013
92.029927,10,2.449646
73.305509,8,2.452573
119.50192,13,2.457183
73.469633,8,2.460091
119.803789,13,2.464658
73.251448,8,2.467559
91.824727,10,2.471226
73.024299,8,2.474124
110.80626,12,2.47838
82.417084,9,2.754664
73.128394,8,2.757597
63.757368,7,2.760186
64.21484,7,2.762774
64.129511,7,2.765343
73.132435,8,2.768255
92.175837,10,2.77186
91.629655,10,2.775445
92.14186,10,2.779042
63.993837,7,2.781586
82.312985,9,3.059421
101.821249,11,3.063382
63.989247,7,3.065965
82.526739,9,3.06923
176.366615,19,3.075872
91.922055,10,3.079457
92.206172,10,3.083039
73.209313,8,3.085926
73.338605,8,3.088835
82.735215,9,3.092075
26.862028,3,6.519195
26.801879,3,6.52048
26.859724,3,6.52174
26.86402,3,6.522983
26.869104,3,6.524216
26.722152,3,6.525629
26.903813,3,6.526861
26.72345,3,6.528092
26.814924,3,6.529315
26.851095,3,6.530543
92.611503,10,9.872719
148.543331,16,9.878289
129.612457,14,9.883224
148.193946,16,9.888777
101.31287,11,9.892664
120.108656,13,9.897172
120.386382,13,9.9017
110.90906,12,9.905922
129.874367,14,9.910762
167.011422,18,9.917001
185.726688,20,13.229131
129.5313,14,13.234094
167.255644,18,13.240394
120.429729,13,13.244947
148.319096,16,13.250488
204.201192,22,13.258044
148.039032,16,13.263573
110.795476,12,13.267818
110.685674,12,13.272016
176.278118,19,13.278547
269.792668,29,16.576535
110.702112,12,16.580879
157.469687,17,16.586752
138.546904,15,16.591975
157.897933,17,16.597823
157.369854,17,16.603681
176.546874,19,16.610248
214.002722,23,16.618086
279.648476,30,16.628309
194.983843,21,16.635528
316.153658,34,19.922555
101.354272,11,19.926558
279.260169,30,19.936904
166.775902,18,19.943144
138.745349,15,19.94838
119.952907,13,19.952934
232.23912,25,19.961483
213.562669,23,19.969382
157.161985,17,19.975271
269.286892,29,19.985159
212.973885,23,23.125023
409.288197,44,23.140027
