#{"t_start": 1663264182.37777, "env_id": "InvertedPendulum-v2"}
r,l,t
9.0,9,0.226159
8.0,8,0.228546
9.0,9,0.231238
8.0,8,0.233629
8.0,8,0.235994
8.0,8,0.238283
8.0,8,0.240587
8.0,8,0.242958
8.0,8,0.245271
8.0,8,0.24757
9.0,9,0.464166
8.0,8,0.466495
8.0,8,0.468814
8.0,8,0.471124
8.0,8,0.473433
8.0,8,0.475725
8.0,8,0.478027
9.0,9,0.480584
8.0,8,0.482897
8.0,8,0.485191
8.0,8,0.694273
8.0,8,0.6966
8.0,8,0.698914
9.0,9,0.701488
8.0,8,0.703811
8.0,8,0.70611
8.0,8,0.708406
8.0,8,0.710697
8.0,8,0.712997
8.0,8,0.715285
9.0,9,0.92351
9.0,9,0.926111
8.0,8,0.928433
8.0,8,0.930747
8.0,8,0.93307
8.0,8,0.935374
8.0,8,0.937672
9.0,9,0.940251
8.0,8,0.942542
8.0,8,0.944852
8.0,8,1.158512
8.0,8,1.160896
9.0,9,1.163506
9.0,9,1.166122
8.0,8,1.168467
9.0,9,1.171084
8.0,8,1.173464
8.0,8,1.175828
8.0,8,1.178172
8.0,8,1.18051
8.0,8,1.392991
8.0,8,1.395355
8.0,8,1.397828
8.0,8,1.400144
9.0,9,1.402746
8.0,8,1.405115
8.0,8,1.407431
8.0,8,1.409798
8.0,8,1.412122
8.0,8,1.414434
8.0,8,1.625378
8.0,8,1.627724
9.0,9,1.630357
9.0,9,1.63297
8.0,8,1.635296
8.0,8,1.637606
9.0,9,1.640205
8.0,8,1.642535
8.0,8,1.644871
8.0,8,1.647178
9.0,9,1.857792
9.0,9,1.860402
9.0,9,1.863008
8.0,8,1.86534
9.0,9,1.867947
9.0,9,1.87053
8.0,8,1.872849
8.0,8,1.87518
8.0,8,1.877491
8.0,8,1.879816
9.0,9,2.093906
8.0,8,2.096295
8.0,8,2.09863
8.0,8,2.10098
8.0,8,2.103317
8.0,8,2.105652
8.0,8,2.108174
8.0,8,2.110531
8.0,8,2.112891
8.0,8,2.115229
8.0,8,2.329822
8.0,8,2.332211
8.0,8,2.334561
8.0,8,2.336929
9.0,9,2.339564
8.0,8,2.341919
8.0,8,2.344264
8.0,8,2.346606
8.0,8,2.348967
8.0,8,2.351308
8.0,8,5.743747
8.0,8,5.746124
8.0,8,5.748444
9.0,9,5.751157
9.0,9,5.753795
8.0,8,5.756109
9.0,9,5.758711
9.0,9,5.761325
9.0,9,5.763916
9.0,9,5.766518
41.0,41,8.912492
39.0,39,8.923165
39.0,39,8.933861
39.0,39,8.94463
41.0,41,8.955858
40.0,40,8.966823
39.0,39,8.977486
39.0,39,8.988164
38.0,38,8.998575
40.0,40,9.009531
56.0,56,12.275645
71.0,71,12.294819
77.0,77,12.315521
61.0,61,12.331969
46.0,46,12.344421
86.0,86,12.367551
91.0,91,12.392151
69.0,69,12.410825
62.0,62,12.427607
80.0,80,12.449162
55.0,55,15.732624
55.0,55,15.747684
54.0,54,15.762514
56.0,56,15.777803
54.0,54,15.792538
55.0,55,15.807557
55.0,55,15.822589
51.0,51,15.836503
58.0,58,15.852369
56.0,56,15.867662
69.0,69,19.100386
77.0,77,19.121458
89.0,89,19.145705
72.0,72,19.165377
67.0,67,19.183666
104.0,104,19.211875
67.0,67,19.230175
61.0,61,19.246806
64.0,64,19.264249
73.0,73,19.284117
66.0,66,22.544342
61.0,61,22.560907
69.0,69,22.57954
65.0,65,22.597198
67.0,67,22.615338
70.0,70,22.634332
67.0,67,22.65263
72.0,72,22.672355
63.0,63,22.689626
