#{"t_start": 1663347378.247514, "env_id": "PredatorPrey-v0"}
r,l,t
-20.0,200,1.668208
-20.0,200,1.721291
-20.0,200,1.774136
-20.0,200,1.826964
-20.0,200,1.879793
-20.0,200,1.932534
-20.0,200,1.985135
-20.0,200,2.037706
-20.0,200,2.090537
-20.0,200,2.143273
-20.0,200,2.19602
-20.0,200,2.249011
-20.0,200,2.30201
-20.0,200,2.354999
-3.0,41,2.365872
-20.0,200,2.41872
-20.0,200,2.471657
-20.0,200,2.524555
-20.0,200,2.576811
-20.0,200,2.629141
-20.0,200,2.681343
-20.0,200,2.733487
-20.0,200,2.785542
-20.0,200,2.837662
-20.0,200,2.890038
-20.0,200,2.942053
-20.0,200,2.994279
-20.0,200,3.046512
-20.0,200,3.098653
-20.0,200,3.15091
-7.3,84,3.172884
-20.0,200,3.225685
-20.0,200,3.278467
-20.0,200,3.331239
-20.0,200,3.383461
-20.0,200,3.435705
-20.0,200,3.487943
-20.0,200,3.540164
-20.0,200,3.59234
-20.0,200,3.644753
-20.0,200,3.697906
-20.0,200,3.750136
-20.0,200,3.802425
-20.0,200,3.854671
-20.0,200,3.906809
-20.0,200,3.958877
-20.0,200,4.011091
-20.0,200,4.063374
-20.0,200,4.115586
-20.0,200,4.168138
-20.0,200,4.221002
-20.0,200,4.273416
-20.0,200,4.326146
-20.0,200,4.378933
-20.0,200,4.431656
-20.0,200,4.48431
-20.0,200,4.537048
-20.0,200,4.589782
-20.0,200,4.642608
-20.0,200,4.695439
-20.0,200,4.748231
-20.0,200,4.800922
-20.0,200,4.853703
-20.0,200,4.906441
-20.0,200,4.959134
-20.0,200,5.011783
-20.0,200,5.064578
-20.0,200,5.117414
-20.0,200,5.170181
-6.8,79,5.191132
-20.0,200,5.244167
-20.0,200,5.29684
-20.0,200,5.349618
-20.0,200,5.402428
-20.0,200,5.455416
-20.0,200,5.508262
-20.0,200,5.561266
-20.0,200,5.614237
-20.0,200,5.667543
-20.0,200,5.721151
-8.7,98,5.747231
-20.0,200,5.800101
-20.0,200,5.852937
-20.0,200,5.90587
-20.0,200,5.958548
-20.0,200,6.0113
-20.0,200,6.064015
-20.0,200,6.117074
-20.0,200,6.170012
-20.0,200,6.222881
-20.0,200,6.275943
-20.0,200,6.328957
-20.0,200,6.381993
-20.0,200,6.434866
-20.0,200,6.487744
-20.0,200,6.540543
-20.0,200,6.593289
-20.0,200,6.646225
-20.0,200,6.699178
-20.0,200,6.752111
-20.0,200,25.100939
-20.0,200,25.152998
-20.0,200,25.204981
-20.0,200,25.256715
-20.0,200,25.308527
-20.0,200,25.360286
-20.0,200,25.41213
-20.0,200,25.463995
-20.0,200,25.516009
-20.0,200,25.567833
-20.0,200,25.619642
-20.0,200,25.671494
-20.0,200,25.723355
-20.0,200,25.775372
-20.0,200,25.827247
-20.0,200,25.879207
-20.0,200,25.930936
-20.0,200,25.982821
-20.0,200,26.034597
-20.0,200,26.08636
-20.0,200,26.138293
-20.0,200,26.190088
-20.0,200,26.242017
-20.0,200,26.293896
-20.0,200,26.345915
-20.0,200,26.397726
-20.0,200,26.449495
-20.0,200,26.501242
-20.0,200,26.553154
-20.0,200,26.604886
-20.0,200,26.656716
-20.0,200,26.708622
-20.0,200,26.760445
-20.0,200,26.812297
-20.0,200,26.864202
-20.0,200,26.916018
-20.0,200,26.967773
-20.0,200,27.019696
-20.0,200,27.071706
-20.0,200,27.123532
-20.0,200,27.17533
-20.0,200,27.227405
-20.0,200,27.279305
-20.0,200,27.331144
-20.0,200,27.38291
-20.0,200,27.434693
-20.0,200,27.486485
-20.0,200,27.53838
-20.0,200,27.590293
-20.0,200,27.642056
-20.0,200,27.69381
-20.0,200,27.745695
-20.0,200,27.797484
-20.0,200,27.849221
-20.0,200,27.901022
-20.0,200,27.952807
-20.0,200,28.004515
-20.0,200,28.056244
-20.0,200,28.108072
-20.0,200,28.159939
-20.0,200,28.211859
-20.0,200,28.263685
-20.0,200,28.315833
-20.0,200,28.367667
-20.0,200,28.419536
