#{"t_start": 1662668505.0289953, "env_id": "Swimmer10-v3"}
r,l,t
-77.399159,1000,5.114402
-77.036789,1000,5.709055
-77.860883,1000,6.291598
-77.502233,1000,7.060272
-77.104456,1000,7.641729
-77.087766,1000,8.151301
-76.744506,1000,8.788754
-76.767402,1000,9.437825
-76.857186,1000,10.116734
-77.083327,1000,10.733494
-22.596945,1000,138.282222
-22.632958,1000,138.905041
-21.644353,1000,139.593845
-21.816549,1000,140.208544
-23.076209,1000,140.85647
-22.182144,1000,141.536882
-23.275373,1000,142.291223
-22.403681,1000,142.945914
-21.582614,1000,143.624712
-22.554836,1000,144.29509
8.634786,1000,273.652291
8.823194,1000,274.257731
1.785872,1000,274.934962
20.487001,1000,275.528201
9.448768,1000,276.104425
-11.682153,1000,276.724048
1.25171,1000,277.41669
9.718638,1000,277.997898
15.210885,1000,278.558255
7.75724,1000,279.139809
-6.315971,1000,404.659023
-11.437642,1000,405.21534
-9.297998,1000,405.798837
-9.213063,1000,406.418508
-7.776632,1000,407.081377
-6.457736,1000,407.715704
-13.114992,1000,408.335236
-9.703455,1000,409.033077
-7.120613,1000,409.692424
-10.266771,1000,410.287994
56.739432,1000,538.327495
71.558235,1000,538.903448
71.426915,1000,539.478677
75.583565,1000,540.131613
60.32601,1000,540.756062
71.124779,1000,541.367318
79.48845,1000,541.892835
59.60082,1000,542.516858
66.94068,1000,543.134734
71.392138,1000,543.70312
0.071987,1000,670.606777
0.903269,1000,671.206938
5.10852,1000,671.827324
0.878851,1000,672.447677
-2.375444,1000,673.149729
3.222523,1000,673.759842
2.951242,1000,674.354216
4.674998,1000,675.016113
-1.210666,1000,675.655796
1.179498,1000,676.320897
16.038516,1000,804.969275
12.521627,1000,805.583876
12.699665,1000,806.154485
14.03357,1000,806.800035
13.570327,1000,807.347642
12.618855,1000,807.960787
13.757801,1000,808.584619
12.279245,1000,809.103611
13.786399,1000,809.647838
11.61013,1000,810.22693
59.67399,1000,934.134222
61.327672,1000,934.670475
64.410359,1000,935.196781
70.089617,1000,935.751318
58.831315,1000,936.294729
65.685951,1000,936.889294
59.269239,1000,937.473676
65.044603,1000,938.085164
60.137046,1000,938.661546
59.059571,1000,939.316809
80.00129,1000,1068.771911
79.681208,1000,1069.394312
86.608941,1000,1070.003487
86.542681,1000,1070.524061
81.975719,1000,1071.087997
78.192774,1000,1071.682261
82.413888,1000,1072.261851
78.133851,1000,1072.786689
86.611159,1000,1073.460756
78.018032,1000,1074.014963
128.177891,1000,1213.716283
133.511242,1000,1214.33157
124.957471,1000,1214.922189
125.15716,1000,1215.485202
124.328659,1000,1216.05618
124.744633,1000,1216.681219
131.08615,1000,1217.242598
127.276237,1000,1217.766634
126.766365,1000,1218.434925
129.501176,1000,1218.926317
309.193188,1000,1354.213106
308.393486,1000,1354.830696
304.221892,1000,1355.459023
308.472403,1000,1355.995022
304.547561,1000,1356.562394
306.427318,1000,1357.172436
304.443139,1000,1357.760738
304.616109,1000,1358.422136
306.468791,1000,1359.028143
307.312246,1000,1359.676451
344.933367,1000,1494.474604
344.619401,1000,1495.037807
345.68085,1000,1495.612615
344.970648,1000,1496.182697
344.918736,1000,1496.742415
345.726085,1000,1497.315272
345.160535,1000,1497.869703
343.957241,1000,1498.416462
344.066606,1000,1498.958845
344.856129,1000,1499.534937
326.237636,1000,1637.992321
326.579532,1000,1638.619273
326.370851,1000,1639.255575
326.277372,1000,1639.909581
327.261069,1000,1640.527809
327.878522,1000,1641.08721
327.220274,1000,1641.681437
325.840716,1000,1642.29429
326.120624,1000,1642.937507
327.679717,1000,1643.529797
345.853835,1000,1786.61797
345.506893,1000,1787.209445
345.097324,1000,1787.819939
345.877977,1000,1788.421372
345.52843,1000,1789.036686
345.546723,1000,1789.698977
345.575247,1000,1790.324643
346.283973,1000,1790.898733
345.411458,1000,1791.459411
346.27075,1000,1792.021198
395.439437,1000,1936.564364
395.748398,1000,1937.214103
395.146807,1000,1937.797211
394.851636,1000,1938.407747
395.640074,1000,1938.987565
394.859208,1000,1939.569287
395.506455,1000,1940.148122
395.153995,1000,1940.72828
395.077788,1000,1941.356638
395.213658,1000,1941.930353
407.968888,1000,2089.339006
406.718224,1000,2089.985755
407.270337,1000,2090.631315
407.431302,1000,2091.294732
407.596269,1000,2091.870667
406.823566,1000,2092.483664
407.160289,1000,2093.118646
406.951951,1000,2093.693631
407.745819,1000,2094.271852
407.685111,1000,2094.95768
398.929083,1000,2243.779695
399.454913,1000,2244.32768
399.388463,1000,2244.92959
398.872368,1000,2245.491368
399.468856,1000,2246.029808
399.328968,1000,2246.587879
398.745574,1000,2247.250958
399.5787,1000,2247.871927
399.445456,1000,2248.470939
399.206038,1000,2249.093483
