#{"t_start": 1662437838.2674792, "env_id": "Walker2d-v3"}
r,l,t
26.311637,50,3.201331
23.137245,48,3.222681
21.815614,46,3.243093
24.805954,48,3.264455
20.68101,45,3.284421
23.609803,48,3.305788
23.855977,48,3.3272
23.022104,47,3.348141
25.209631,49,3.36993
24.0068,47,3.390823
235.246402,129,152.355529
223.726777,121,152.409456
232.570962,128,152.466256
319.370909,204,152.556974
73.777957,167,152.630672
208.416688,108,152.678717
214.286847,113,152.728914
222.910486,120,152.782224
197.253932,101,152.827285
221.00837,117,152.879241
351.077237,180,301.097399
294.997519,137,301.159346
253.189718,113,301.209503
372.971921,202,301.300322
359.098513,194,301.387616
348.608777,181,301.469238
261.473138,117,301.521085
247.963819,111,301.570083
298.077989,140,301.632984
260.195126,118,301.6851
372.483903,197,454.203441
316.094562,159,454.272853
297.884637,142,454.335463
352.939502,195,454.422061
247.212667,229,454.522456
274.604813,147,454.586667
286.371917,149,454.651824
162.689431,129,454.708734
306.847402,149,454.774338
388.570744,266,454.89062
476.654129,172,604.701468
460.374724,177,604.780063
488.272072,197,604.867543
484.184538,173,604.943026
511.648552,199,605.031768
501.468476,183,605.112467
473.919233,188,605.196238
359.464304,141,605.258028
570.634096,211,605.351074
495.337614,186,605.433147
327.429792,177,752.744411
256.991117,143,752.807723
373.099539,186,752.889047
523.113042,202,752.978154
499.513965,199,753.065554
270.724321,159,753.135415
320.392721,160,753.205778
289.734531,167,753.278934
663.571262,351,753.433112
768.356251,308,753.567426
479.901638,206,904.223415
733.857819,284,904.34486
577.076891,219,904.43894
520.241912,228,904.537378
555.365793,201,904.623841
606.58528,242,904.727259
494.240563,188,904.807992
608.37222,249,904.914565
630.782367,262,905.02667
499.29796,214,905.118361
401.531804,163,1060.607225
408.23935,166,1060.678485
405.44121,169,1060.750814
429.30437,168,1060.822689
470.870165,180,1060.899682
441.033342,176,1060.975278
361.089098,151,1061.040401
359.657972,160,1061.108701
325.474384,145,1061.171032
436.053585,177,1061.246939
595.105731,220,1245.789135
1196.800633,358,1245.942656
585.886508,216,1246.035572
1380.255176,404,1246.208271
696.81933,248,1246.314629
612.516521,227,1246.412655
645.554465,232,1246.512597
518.720503,194,1246.596343
727.083218,235,1246.697576
1108.23771,357,1246.850674
613.918783,198,1451.354304
587.373713,192,1451.436616
584.378433,190,1451.518173
712.663475,222,1451.613246
529.023776,184,1451.69195
833.38246,237,1451.793124
649.68625,218,1451.886849
628.434562,199,1451.972257
652.208436,216,1452.065099
720.28511,215,1452.157144
1045.913875,283,1656.744512
915.825155,264,1656.858263
1055.550091,289,1656.982577
1273.300669,334,1657.125954
1070.10182,304,1657.257227
1208.109345,330,1657.398894
1450.66898,375,1657.559704
1334.693785,344,1657.707267
1276.216149,347,1657.856306
1031.938831,283,1657.978073
1222.273054,373,1869.35359
819.673011,255,1869.463009
904.719875,281,1869.58315
1141.284779,316,1869.717039
658.748557,215,1869.809267
1012.240324,316,1869.944439
620.945858,202,1870.030884
757.595077,262,1870.142968
707.861734,224,1870.239407
942.452519,294,1870.365211
726.277007,238,2076.811358
1185.11522,344,2076.959502
760.992573,251,2077.06816
727.121318,230,2077.166852
761.182311,251,2077.275253
774.953232,257,2077.386199
819.931812,272,2077.503841
746.311506,239,2077.606934
784.686175,247,2077.713164
834.399136,254,2077.82218
965.962804,324,2293.490341
1459.569949,452,2293.684649
1056.180173,338,2293.829821
1245.80068,370,2293.988866
1097.613138,350,2294.139516
1183.583133,389,2294.306828
1264.520146,381,2294.470565
1113.118987,346,2294.619245
1843.77805,554,2294.857952
1108.721135,354,2295.010607
1127.933072,346,2512.122936
1314.877319,378,2512.284808
1182.896731,343,2512.43119
1216.864168,388,2512.597261
1594.529698,486,2512.805527
1502.774308,406,2512.979428
1128.482824,340,2513.125395
1307.07049,380,2513.288489
1323.667588,385,2513.453045
722.552095,273,2513.570349
814.799353,267,2737.406931
614.339677,223,2737.502944
687.958147,242,2737.607068
717.753825,299,2737.736787
626.487783,226,2737.834217
691.436838,237,2737.936009
764.431328,249,2738.043472
709.205235,261,2738.156553
672.1969,246,2738.262959
727.327369,238,2738.365121
1595.074081,432,2964.708318
2242.565546,624,2964.976642
1426.702522,420,2965.157087
911.367538,287,2965.281105
1579.613211,455,2965.475364
1529.261628,464,2965.674497
1595.431019,620,2965.940874
1256.307643,348,2966.089932
1192.772006,325,2966.22873
1031.652836,319,2966.365215
696.311209,239,3191.884271
734.036134,236,3191.985563
838.15532,238,3192.087664
1300.32272,348,3192.236138
936.107649,289,3192.360767
1327.836066,349,3192.509858
730.170883,223,3192.605145
1026.738025,301,3192.733899
2164.139099,567,3192.975393
1509.904488,391,3193.14185
1091.907997,351,3422.421241
890.729465,289,3422.544407
1025.840347,319,3422.680576
887.250152,280,3422.799153
1083.995383,326,3422.937771
1874.871471,512,3423.154609
1247.158389,381,3423.316855
1083.938774,371,3423.475008
628.977619,247,3423.581201
1695.120034,525,3423.803559
1488.782174,392,3643.867992
1185.622912,329,3644.008201
793.854051,248,3644.11465
772.755118,239,3644.216849
1327.747763,369,3644.373992
737.770956,228,3644.470998
908.470149,265,3644.584104
1585.928523,431,3644.76734
986.743514,285,3644.888408
809.089536,248,3644.994971
890.946025,263,3879.311051
1150.78384,400,3879.481523
490.487874,186,3879.561404
1889.25796,532,3879.787274
1957.497451,526,3880.011219
949.136897,362,3880.165739
297.436506,130,3880.221464
568.329876,185,3880.300483
1597.39618,434,3880.485194
573.760156,187,3880.565247
1520.794336,397,4107.806614
2145.534626,536,4108.034632
1385.5835,373,4108.193727
1093.26061,359,4108.346836
801.695329,244,4108.450942
1219.442848,340,4108.596018
1162.450405,352,4108.745512
1745.228635,473,4108.946337
2379.423785,573,4109.190082
1955.763641,566,4109.431973
819.024415,244,4332.932878
1657.71349,483,4333.138214
2871.689836,698,4333.434182
2407.28487,616,4333.695796
1589.64546,399,4333.86485
669.862717,229,4333.962596
2455.833574,600,4334.216159
2307.358803,542,4334.445394
2490.960448,593,4334.696147
3742.977917,1000,4335.12045
113.589118,71,4560.41174
1919.651479,506,4560.627032
4027.998512,1000,4561.052936
835.381739,245,4561.157061
595.942732,197,4561.240744
896.021675,281,4561.360601
109.444035,67,4561.389375
1427.615182,397,4561.558897
1737.918986,463,4561.756617
122.491902,73,4561.787852
2130.081408,492,4792.613631
166.221761,83,4792.64972
2218.266038,540,4792.880206
4130.400793,1000,4793.307672
1579.735779,412,4793.483173
4350.7147,1000,4793.912168
1466.6518,391,4794.07906
1181.796936,317,4794.214073
1280.699554,309,4794.346094
2478.514194,629,4794.617109
2985.65718,745,5026.406294
1506.933487,394,5026.574551
2436.583414,625,5026.840908
1696.731948,427,5027.023297
4061.658939,1000,5027.449526
3628.057616,878,5027.822632
1679.454507,453,5028.015528
4174.611919,1000,5028.441436
1595.636258,444,5028.630861
4278.321237,1000,5029.056818
2214.062285,602,5254.705134
1461.619955,392,5254.872181
754.465125,229,5254.970105
1769.207982,478,5255.173286
4505.418775,1000,5255.599393
682.674237,220,5255.693609
3732.689501,896,5256.074023
3788.07038,1000,5256.497824
713.682243,220,5256.591589
1530.238396,404,5256.763621
2005.813835,496,5481.030974
1696.389175,431,5481.213687
2393.741671,571,5481.456207
1458.911927,386,5481.620529
1541.726085,375,5481.779839
2425.323769,576,5482.02386
4193.110008,1000,5482.44693
3104.54153,712,5482.749899
2718.430744,639,5483.021943
2928.677977,705,5483.32137
1482.934548,416,5717.875013
1330.111895,349,5718.023582
1106.196733,322,5718.161028
1092.671208,305,5718.290912
1320.755335,363,5718.445283
1158.435537,331,5718.586665
1216.743038,338,5718.730014
4173.261491,1000,5719.153927
1393.029383,401,5719.324457
1187.488172,337,5719.468058
1804.35672,475,5945.402688
2912.808564,655,5945.681415
1355.764389,357,5945.833276
2285.85457,576,5946.078276
2763.961579,764,5946.40282
2586.686467,644,5946.675669
1547.346807,388,5946.840958
1511.476183,394,5947.008603
2223.704275,556,5947.244096
1095.664797,311,5947.376603
156.180746,96,6171.453333
731.164224,247,6171.558176
168.052386,93,6171.598068
122.290856,81,6171.6327
3484.337052,1000,6172.054412
188.567578,107,6172.100017
149.664773,93,6172.139567
194.096356,107,6172.185055
828.503685,292,6172.308822
841.451115,305,6172.438316
1378.491405,443,6403.6621
4191.499822,888,6404.039591
4754.015499,1000,6404.464086
1828.080028,452,6404.656006
4380.217183,917,6405.045027
3769.895599,941,6405.443928
2668.867021,614,6405.704893
2149.678167,545,6405.936311
2372.789969,652,6406.212361
1208.214294,338,6406.355529
1286.636743,345,6639.208172
1255.756947,340,6639.352515
1166.750966,317,6639.48751
1236.862272,348,6639.635078
2610.532108,624,6639.899054
1255.249554,346,6640.045999
1060.568447,293,6640.170806
3665.415922,839,6640.525715
1188.390359,329,6640.665342
1261.292581,340,6640.809782
3508.882009,835,6867.024828
2355.153132,550,6867.258993
2152.261122,505,6867.473651
2957.343265,666,6867.75741
1125.247195,308,6867.888314
351.9745,143,6867.94918
3656.231462,930,6868.342809
1906.660036,503,6868.556804
1744.137913,451,6868.748828
749.770474,217,6868.840628
1647.082777,384,7102.580683
1647.588335,403,7102.752412
3523.332425,835,7103.106724
3503.341347,886,7103.482218
673.191317,213,7103.57301
2112.296397,561,7103.811453
2382.345268,526,7104.035318
1467.423456,486,7104.241919
3850.82671,889,7104.618845
1109.249641,286,7104.740919
4254.452967,1000,7315.631788
4379.750398,1000,7316.055295
4350.872828,1000,7316.479612
3743.989821,825,7316.829258
4272.871649,1000,7317.254787
3384.714918,805,7317.596952
3497.503553,814,7317.943668
4382.201702,1000,7318.369833
4536.413555,1000,7318.795936
4209.091456,1000,7319.221347
872.292702,260,7565.902731
1283.313581,351,7566.052994
2683.829332,679,7566.341365
1484.959847,397,7566.510864
318.264502,135,7566.569031
1209.213497,365,7566.724326
1815.792733,530,7566.950188
3003.145619,862,7567.317454
2123.662771,556,7567.553574
1552.921035,391,7567.720554
2681.054297,640,7797.305416
2774.128653,695,7797.602852
3912.033117,1000,7798.028147
2229.922031,599,7798.283635
4478.740921,1000,7798.709657
4129.34015,1000,7799.135596
4314.501011,1000,7799.561497
4065.790179,1000,7799.986912
4138.568798,1000,7800.413067
4168.290904,1000,7800.838774
4155.081595,1000,8023.006521
1600.480157,397,8023.176061
4467.252453,1000,8023.602227
4244.236864,1000,8024.02787
4223.423477,1000,8024.452718
4261.354212,1000,8024.876349
2410.794948,561,8025.114954
4305.532817,1000,8025.539862
4371.816586,1000,8025.964505
4293.121608,1000,8026.388847
4667.446523,1000,8262.131502
2248.976678,535,8262.358238
4478.138854,1000,8262.781619
4619.383272,1000,8263.205744
4679.32692,1000,8263.630682
4249.391155,1000,8264.05336
1329.497914,339,8264.197379
4667.304417,1000,8264.622366
3041.723207,787,8264.955026
4647.331059,1000,8265.379161
1918.580826,463,8493.259162
4266.271461,1000,8493.682325
2506.319108,561,8493.919485
2913.126286,870,8494.288182
2183.922761,533,8494.513794
3987.275049,960,8494.919233
887.922671,272,8495.035103
1360.599024,387,8495.199524
3544.369091,804,8495.540293
4258.503844,1000,8495.964158
2979.551529,681,8715.580746
4557.27899,1000,8716.004205
4509.490848,1000,8716.427652
4401.693306,1000,8716.852721
4467.77025,1000,8717.277999
2689.097256,632,8717.546459
3712.062305,867,8717.91399
3213.539615,735,8718.225747
4573.33945,1000,8718.650496
4352.689311,973,8719.062611
4423.053662,996,8970.955544
2498.27536,586,8971.205249
4315.350046,1000,8971.630988
4375.072948,1000,8972.055602
4484.176604,1000,8972.479926
4443.973282,1000,8972.905075
4068.620333,913,8973.292798
4541.8637,1000,8973.716884
4344.65776,1000,8974.142148
4217.106115,1000,8974.567417
4625.57538,1000,9198.646863
2998.373602,701,9198.943057
2360.282377,562,9199.181099
4638.649014,1000,9199.604841
3808.241927,854,9199.967095
3105.803142,700,9200.263919
2036.067776,490,9200.472
3468.784485,780,9200.802638
2527.167438,582,9201.050038
4024.016702,879,9201.423512
3619.299239,833,9424.88213
1759.205685,432,9425.065795
1684.075168,412,9425.241552
3743.809363,887,9425.618571
4598.146858,1000,9426.043808
4332.084089,1000,9426.46799
3024.899106,703,9426.765581
3902.385811,1000,9427.189577
4562.283425,1000,9427.613884
3473.500809,779,9427.944842
1673.209007,446,9659.687103
4003.225774,1000,9660.112961
2622.942464,649,9660.389079
3762.112192,996,9660.821262
2935.680483,698,9661.118644
4479.869518,1000,9661.543989
2212.939967,577,9661.789158
3850.383872,1000,9662.215384
4070.731748,1000,9662.640934
2272.169162,583,9662.88881
3813.239639,884,9910.147282
4107.727459,1000,9910.57497
4240.77897,1000,9911.004013
4107.261238,1000,9911.437216
4587.143858,1000,9911.866376
4637.569721,1000,9912.293979
4448.173762,1000,9912.722493
4202.041889,1000,9913.151499
4571.964985,1000,9913.578048
4120.639209,1000,9914.006368
4124.724016,1000,10143.419122
4281.038063,1000,10143.846138
4231.327839,1000,10144.27151
4189.040238,1000,10144.701673
4040.931509,1000,10145.12742
3988.866544,1000,10145.553724
4137.639102,1000,10145.980487
