#{"t_start": 1663264148.3202808, "env_id": "InvertedDoublePendulum-v2"}
r,l,t
101.429798,11,0.295134
82.8886,9,0.298567
92.263783,10,0.30238
83.01936,9,0.305852
92.298418,10,0.309416
82.812432,9,0.312674
110.184823,12,0.316946
110.766673,12,0.32113
110.390065,12,0.325323
91.806888,10,0.328878
82.656921,9,0.616525
129.878727,14,0.621451
82.714545,9,0.624672
101.756273,11,0.628566
92.203463,10,0.632102
101.335138,11,0.635959
92.222682,10,0.639512
82.7263,9,0.642727
83.238142,9,0.64593
92.074104,10,0.649561
92.175591,10,0.931366
110.843048,12,0.935617
129.076904,14,0.940496
72.935086,8,0.943397
91.867398,10,0.946925
120.214159,13,0.95154
120.346707,13,0.956067
110.856384,12,0.96028
82.355536,9,0.963524
83.142423,9,0.966732
101.395552,11,1.258434
101.66035,11,1.2624
120.100677,13,1.266981
91.564095,10,1.270561
101.376727,11,1.274451
139.297892,15,1.2797
101.855869,11,1.283594
148.22673,16,1.289221
120.540508,13,1.293786
166.706064,18,1.300041
92.253859,10,1.590513
92.225018,10,1.594352
82.751554,9,1.597755
73.546916,8,1.600777
101.659463,11,1.604751
92.368585,10,1.60835
82.205336,9,1.611627
101.085768,11,1.615503
91.994833,10,1.619038
101.681538,11,1.622971
92.034125,10,1.906957
120.28359,13,1.911624
91.846213,10,1.9152
120.427631,13,1.91976
82.136421,9,1.922985
101.170838,11,1.926851
91.925435,10,1.930429
92.440171,10,1.933969
73.426595,8,1.936841
82.325169,9,1.940086
101.76084,11,2.219806
82.513557,9,2.223057
91.769537,10,2.226627
92.070661,10,2.230198
101.777194,11,2.234081
101.419553,11,2.237965
119.52185,13,2.242551
73.51582,8,2.245421
82.730388,9,2.248626
101.601932,11,2.252529
82.951096,9,2.534602
73.543327,8,2.537562
110.566723,12,2.541814
92.124382,10,2.545373
101.257583,11,2.54932
120.054426,13,2.55384
73.291391,8,2.556727
101.237182,11,2.56148
138.43227,15,2.566685
82.609863,9,2.569879
129.783791,14,2.854842
91.976367,10,2.858472
91.889341,10,2.862055
92.496131,10,2.865641
120.464288,13,2.870173
82.608285,9,2.873397
101.616107,11,2.87729
101.665908,11,2.881136
82.607654,9,2.884369
139.137581,15,2.889563
82.737334,9,3.167132
110.812474,12,3.171391
73.196541,8,3.174278
82.77163,9,3.177504
92.096261,10,3.181031
92.091575,10,3.184593
139.010209,15,3.189764
92.210789,10,3.193296
119.840575,13,3.19782
82.74841,9,3.201008
119.90933,13,6.653874
110.466925,12,6.658606
73.477475,8,6.661773
120.309744,13,6.666473
82.301608,9,6.669699
100.971513,11,6.67359
91.760157,10,6.677163
129.634976,14,6.68205
73.470492,8,6.684975
91.920235,10,6.688533
120.331742,13,9.978552
120.008134,13,9.983169
129.584812,14,9.988134
92.396391,10,9.991692
129.491296,14,9.996566
82.822911,9,9.999848
120.468142,13,10.004402
101.480155,11,10.008326
222.682763,24,10.016528
120.105485,13,10.02111
222.699998,24,13.257889
316.650874,34,13.269597
129.978138,14,13.274542
148.625334,16,13.280107
157.716576,17,13.286063
166.275992,18,13.292293
83.009708,9,13.295569
185.347598,20,13.302485
167.020139,18,13.308724
213.288877,23,13.316663
268.79108,29,16.526453
232.706863,25,16.535164
231.888908,25,16.543837
101.765854,11,16.547757
157.714161,17,16.553683
204.806363,22,16.561275
129.791595,14,16.566152
138.837392,15,16.571393
204.303666,22,16.578958
213.705313,23,16.586962
344.343265,37,19.928985
325.249717,35,19.941014
363.449215,39,19.954348
287.698236,31,19.964935
240.961876,26,19.973882
194.480777,21,19.981121
353.63994,38,19.994004
259.627975,28,20.003531
250.932782,27,20.012729
447.476974,48,20.029082
250.89444,27,23.36533
465.645318,50,23.382507
409.929742,44,23.397494
316.056636,34,23.409285
297.358253,32,23.42015
278.710861,30,23.430392
390.828903,42,23.444793
286.881,31,23.455437
241.227314,26,23.46435
380.798318,41,23.478315
493.905816,53,26.659621
456.529763,49,26.676521
222.604393,24,26.684922
437.92466,47,26.700979
437.593304,47,26.716973
616.06852,66,26.739503
344.093244,37,26.752186
391.169068,42,26.766582
578.351222,62,26.787671
784.319356,84,26.816132
335.178585,36,30.134095
1093.168383,117,30.173468
297.452952,32,30.184439
437.829734,47,30.200322
1308.115821,140,30.247141
596.634844,64,30.268761
306.831726,33,30.28001
1354.847625,145,30.32855
961.962736,103,30.363086
428.58991,46,30.378668
615.752386,66,33.524925
586.64616,63,33.546386
587.386998,63,33.567802
699.526763,75,33.593312
428.257557,46,33.609223
288.004406,31,33.619873
540.515157,58,33.639521
259.773653,28,33.649167
747.126049,80,33.676134
278.401119,30,33.686457
606.454283,65,37.120716
642.965303,69,37.144087
680.848061,73,37.168842
643.702266,69,37.192257
671.411476,72,37.216565
391.029205,42,37.231006
521.851233,56,37.250007
259.39797,28,37.259614
353.343418,38,37.272579
409.385257,44,37.287592
381.417356,41,40.496851
690.529057,74,40.522026
325.050849,35,40.534074
559.571546,60,40.554422
625.400653,67,40.577176
512.412161,55,40.596014
559.345946,60,40.616389
306.769999,33,40.627731
428.227415,46,40.643333
531.435659,57,40.662749
1083.558975,116,43.988976
466.120547,50,44.00618
531.500299,57,44.025637
363.337277,39,44.039002
559.211078,60,44.059437
606.790055,65,44.081439
503.757184,54,44.099721
494.086264,53,44.11772
680.976104,73,44.142413
690.689908,74,44.16757
587.974698,63,47.438902
634.399024,68,47.462545
372.414961,40,47.476319
362.981464,39,47.489739
765.653138,82,47.517491
484.218624,52,47.535235
428.393714,46,47.551004
1214.426886,130,47.594865
858.895889,92,47.625903
1345.49169,144,47.67433
1429.930178,153,50.862654
821.491528,88,50.892648
569.317026,61,50.913341
1289.545462,138,50.959674
1186.252505,127,51.002292
971.407559,104,51.037244
512.75521,55,51.055923
334.418389,36,51.068304
541.19471,58,51.087987
1083.683312,116,51.127015
1130.040933,121,54.341826
1213.923734,130,54.385857
1120.915621,120,54.426356
1130.637737,121,54.467327
1158.624815,124,54.509491
793.634239,85,54.538374
728.267696,78,54.564965
1242.245424,133,54.610104
1261.243516,135,54.655841
962.174195,103,54.690729
718.437258,77,58.109601
512.78211,55,58.12828
755.990666,81,58.155649
540.859355,58,58.175282
821.632091,88,58.204968
419.045271,45,58.220341
475.308284,51,58.237673
447.173579,48,58.254028
662.695957,71,58.278038
681.205935,73,58.302709
605.714745,65,61.441653
549.992621,59,61.461755
559.379313,60,61.482141
699.538213,75,61.50752
1008.395637,108,61.543922
690.880831,74,61.568897
709.288911,76,61.594539
718.556989,77,61.620539
540.745548,58,61.640215
634.84751,68,61.663248
896.243228,96,64.867074
1036.51639,111,64.904918
493.654751,53,64.922952
765.712222,82,64.950673
877.609971,94,64.982457
812.433651,87,65.012058
849.919161,91,65.042673
887.316776,95,65.074646
690.85868,74,65.100034
868.486272,93,65.13128
1092.835757,117,68.158693
971.01397,104,68.193673
1785.418699,191,68.257687
1167.844523,125,68.299617
980.533596,105,68.334726
9359.90137,1000,68.667349
9359.902296,1000,68.999591
1158.112756,124,69.04114
9359.661534,1000,69.373287
9359.44044,1000,69.706391
9359.632387,1000,71.389023
2964.452181,317,71.494974
9359.9157,1000,71.828317
9359.850067,1000,72.162107
9359.860883,1000,72.495843
9359.877659,1000,72.829633
3020.507247,323,72.937543
3301.101086,353,73.055238
2870.995112,307,73.157725
3001.704703,321,73.265182
9359.610341,1000,76.846365
9358.557281,1000,77.177345
9359.511572,1000,77.510071
9359.583734,1000,77.842339
9359.404754,1000,78.17477
9358.583854,1000,78.504998
9359.14059,1000,78.837346
9359.558552,1000,79.169996
9359.545341,1000,79.502451
9359.333645,1000,79.834886
9359.784721,1000,83.406895
9359.654126,1000,83.737151
9359.626439,1000,84.067301
9359.791983,1000,84.397279
9359.810919,1000,84.727434
9359.432072,1000,85.056882
9359.801063,1000,85.386941
9359.442686,1000,85.716849
9359.500795,1000,86.04629
9359.457787,1000,86.376537
9359.800386,1000,89.952584
9359.923239,1000,90.284765
9359.935218,1000,90.616325
9359.621983,1000,90.948065
9359.835892,1000,91.279285
9359.501288,1000,91.609587
9359.877783,1000,91.939801
9359.564651,1000,92.269904
9359.735258,1000,92.600723
9359.807797,1000,92.93217
9359.918133,1000,96.509658
9359.650095,1000,96.839527
9359.904024,1000,97.169296
9359.630835,1000,97.498753
9359.632831,1000,97.828018
9359.789994,1000,98.157799
9359.505669,1000,98.487934
9359.717335,1000,98.817886
9359.887438,1000,99.148202
9359.545426,1000,99.477962
9359.569455,1000,103.046074
9359.634102,1000,103.375653
9359.751072,1000,103.705416
9359.597288,1000,104.036273
9359.706704,1000,104.365755
9359.902883,1000,104.695297
9359.889543,1000,105.025389
9359.404362,1000,105.354675
9359.415989,1000,105.683358
9359.896098,1000,106.011908
9359.845556,1000,109.574876
9359.725757,1000,109.904223
9359.775038,1000,110.233298
9359.588138,1000,110.562189
9359.878009,1000,110.891694
9359.365358,1000,111.220708
9359.724443,1000,111.550089
9359.906167,1000,111.87924
9359.412168,1000,112.208249
9359.943614,1000,112.537415
9327.585219,1000,116.093306
9359.365735,1000,116.421915
9327.543129,1000,116.753695
9359.695016,1000,117.082114
9327.605474,1000,117.412807
9359.721773,1000,117.74174
9359.704098,1000,118.0715
9359.705137,1000,118.400803
9359.755802,1000,118.729061
9359.572112,1000,119.056931
9359.748617,1000,122.618461
9359.840092,1000,122.947402
9359.801514,1000,123.275923
9359.796426,1000,123.603738
9359.825786,1000,123.932254
9359.848408,1000,124.259807
9359.75488,1000,124.587982
9359.797183,1000,124.916168
9359.699916,1000,125.244782
9359.364218,1000,125.573547
9328.358934,1000,129.139725
9327.953362,1000,129.471547
9330.925967,1000,129.803336
9330.934762,1000,130.135141
9330.939293,1000,130.466263
9330.965607,1000,130.797498
9328.53176,1000,131.129051
9330.466491,1000,131.460253
9328.574558,1000,131.791773
9330.404826,1000,132.123167
9359.626543,1000,135.687774
9359.577302,1000,136.020131
9359.341564,1000,136.351464
9359.428472,1000,136.6824
9359.665209,1000,137.013973
9358.995427,1000,137.345288
9359.45125,1000,137.676904
9359.668437,1000,138.008395
9359.40832,1000,138.339357
9359.468169,1000,138.671535
9348.659,1000,142.229515
9348.571432,1000,142.560697
9359.767104,1000,142.889076
9359.060321,1000,143.217762
9359.796692,1000,143.546136
9314.032553,1000,143.877431
9359.656898,1000,144.207091
9359.695297,1000,144.53558
9359.742013,1000,144.864866
9359.774616,1000,145.194079
9359.602952,1000,148.756208
9359.709396,1000,149.086316
9359.799595,1000,149.415155
9359.598265,1000,149.74401
9359.789668,1000,150.073199
9359.769042,1000,150.402687
9359.876435,1000,150.732276
9359.368598,1000,151.061468
9359.757519,1000,151.391005
9359.735831,1000,151.720365
9314.828308,1000,155.285835
9314.740126,1000,155.618372
9314.677972,1000,155.950736
9314.773736,1000,156.282618
9314.77948,1000,156.614653
9314.786312,1000,156.946822
9315.172611,1000,157.278638
9314.977869,1000,157.610721
9314.642441,1000,157.942646
9314.775202,1000,158.274913
9358.926487,1000,161.837897
9358.929243,1000,162.170363
9358.963165,1000,162.502178
9358.999719,1000,162.833968
9358.911222,1000,163.166096
9359.138611,1000,163.498747
9358.970513,1000,163.830791
9358.880823,1000,164.163083
9358.999861,1000,164.495039
9358.709091,1000,164.827456
9315.492375,1000,168.388415
9315.771955,1000,168.719921
9315.253796,1000,169.052155
9315.45841,1000,169.384862
9316.379536,1000,169.716965
9315.473561,1000,170.049653
9315.3723,1000,170.382684
9315.808439,1000,170.715983
9316.053565,1000,171.049138
9315.441744,1000,171.381283
9333.051776,1000,174.949901
9333.087592,1000,175.283105
9333.060428,1000,175.616124
9333.010589,1000,175.948812
9333.078837,1000,176.281795
9333.067266,1000,176.613972
9333.051638,1000,176.945974
9332.967184,1000,177.278049
9333.059608,1000,177.610423
9332.944657,1000,177.9441
9316.278861,1000,181.512539
9316.666201,1000,181.844868
9316.113563,1000,182.177933
9316.679674,1000,182.509834
9315.949059,1000,182.841613
9316.695103,1000,183.173371
9316.714121,1000,183.504399
9316.121958,1000,183.835454
9316.676401,1000,184.167687
9317.435286,1000,184.500054
9312.604787,1000,188.064992
9312.374886,1000,188.39742
9312.482123,1000,188.730066
9312.343904,1000,189.062184
9313.077984,1000,189.39435
9313.284113,1000,189.725442
9313.031902,1000,190.057019
9312.778234,1000,190.388607
9312.740526,1000,190.720838
9312.481523,1000,191.05235
9347.593814,1000,194.613784
9347.236102,1000,194.945682
9347.601409,1000,195.278844
9347.574654,1000,195.611288
9347.425068,1000,195.943705
9347.785129,1000,196.276285
9347.384012,1000,196.608894
9347.513491,1000,196.941137
9347.506044,1000,197.273355
9347.647519,1000,197.605285
9313.708102,1000,201.178166
9313.991978,1000,201.510473
9313.964361,1000,201.842931
9312.798003,1000,202.174932
9312.511363,1000,202.507033
9314.038557,1000,202.839301
9314.684785,1000,203.171717
9314.082036,1000,203.504413
9314.751203,1000,203.836243
9315.136996,1000,204.168196
9355.143307,1000,207.741399
9355.658131,1000,208.074707
9352.90661,1000,208.40787
9353.66553,1000,208.740464
9354.385762,1000,209.072861
9354.24004,1000,209.406363
9355.985909,1000,209.74158
9354.391103,1000,210.075757
9355.283553,1000,210.409639
9355.551392,1000,210.741201
9321.717933,1000,214.306129
9322.149727,1000,214.639711
9320.820977,1000,214.973132
9321.643633,1000,215.307022
9321.245359,1000,215.640545
9321.394671,1000,215.972954
9321.897731,1000,216.304932
9320.795043,1000,216.636894
9321.692606,1000,216.968814
9321.231832,1000,217.302434
9343.097944,1000,220.868448
9340.978684,1000,221.20175
9339.225977,1000,221.534414
9343.794876,1000,221.866836
9338.543728,1000,222.199397
9339.38326,1000,222.533765
9343.507351,1000,222.867234
9342.763059,1000,223.20064
9339.710485,1000,223.534009
9340.480445,1000,223.867513
9322.209302,1000,227.442591
9327.828765,1000,227.776446
9325.155706,1000,228.110168
9327.201097,1000,228.443966
9325.001896,1000,228.778139
9333.642154,1000,229.111357
9331.291626,1000,229.444721
9325.463144,1000,229.77799
9324.637273,1000,230.11139
9320.727596,1000,230.444915
9325.717937,1000,234.018631
9323.551104,1000,234.352133
9324.377202,1000,234.685668
9322.352482,1000,235.018513
9324.465971,1000,235.351905
9325.026665,1000,235.68537
9324.717938,1000,236.018847
9324.296467,1000,236.351656
9323.349065,1000,236.684777
9325.031014,1000,237.018277
9346.675198,1000,240.587329
9349.19344,1000,240.920138
9351.931477,1000,241.252261
9347.366845,1000,241.584702
9351.800025,1000,241.916737
9352.347145,1000,242.250389
9351.204605,1000,242.583155
9350.270016,1000,242.91578
9346.93601,1000,243.248187
9346.571163,1000,243.581957
9340.710995,1000,247.148397
9341.205697,1000,247.479875
9340.568843,1000,247.811749
9340.479878,1000,248.144508
9340.525067,1000,248.476975
9341.067523,1000,248.810386
9340.39599,1000,249.1435
9340.615166,1000,249.47667
9340.924641,1000,249.809803
9341.23885,1000,250.142522
9332.03966,1000,253.718668
9331.73293,1000,254.052216
9332.205995,1000,254.385688
9331.70008,1000,254.719459
9311.347504,1000,255.052857
9332.183961,1000,255.385772
9311.117626,1000,255.719558
9332.439485,1000,256.051756
9331.982254,1000,256.384583
9332.155513,1000,256.718424
9314.03632,1000,260.285616
9314.129113,1000,260.619461
9313.947961,1000,260.952303
9314.312591,1000,261.285683
9312.572443,1000,261.618699
9313.940571,1000,261.95311
9312.490152,1000,262.287059
9313.57802,1000,262.620936
9312.997287,1000,262.95481
9314.333486,1000,263.288525
9313.53192,1000,266.858974
9312.326225,1000,267.193246
