#{"t_start": 1663264070.3390698, "env_id": "InvertedPendulum-v2"}
r,l,t
12.0,12,0.234183
13.0,13,0.238129
13.0,13,0.241968
11.0,11,0.245117
11.0,11,0.248289
12.0,12,0.251768
11.0,11,0.254929
12.0,12,0.258331
12.0,12,0.261766
13.0,13,0.265447
12.0,12,0.486012
13.0,13,0.489768
11.0,11,0.492903
12.0,12,0.496332
11.0,11,0.49945
12.0,12,0.502839
11.0,11,0.50595
12.0,12,0.509327
11.0,11,0.512457
12.0,12,0.515845
12.0,12,0.733502
11.0,11,0.736707
13.0,13,0.740419
11.0,11,0.743558
12.0,12,0.746936
12.0,12,0.750354
12.0,12,0.753768
12.0,12,0.757151
11.0,11,0.760275
13.0,13,0.763933
11.0,11,0.976133
11.0,11,0.97932
12.0,12,0.982752
11.0,11,0.985893
11.0,11,0.989022
12.0,12,0.992456
12.0,12,0.995853
12.0,12,0.99923
11.0,11,1.002354
13.0,13,1.005993
13.0,13,1.220835
12.0,12,1.224353
11.0,11,1.227503
12.0,12,1.230882
12.0,12,1.234248
13.0,13,1.237895
11.0,11,1.240985
11.0,11,1.244082
11.0,11,1.247184
12.0,12,1.250547
11.0,11,1.46969
12.0,12,1.473188
12.0,12,1.476623
12.0,12,1.48005
12.0,12,1.483472
12.0,12,1.486897
11.0,11,1.490052
13.0,13,1.493731
11.0,11,1.496881
12.0,12,1.500278
12.0,12,1.713994
13.0,13,1.717808
11.0,11,1.721014
13.0,13,1.724716
12.0,12,1.72809
12.0,12,1.731489
12.0,12,1.734871
11.0,11,1.737986
12.0,12,1.74135
12.0,12,1.744724
11.0,11,1.959408
11.0,11,1.962617
12.0,12,1.966013
11.0,11,1.969156
13.0,13,1.972823
11.0,11,1.975944
13.0,13,1.979603
12.0,12,1.982989
12.0,12,1.986372
12.0,12,1.989813
11.0,11,2.207459
12.0,12,2.210949
11.0,11,2.214112
11.0,11,2.217264
11.0,11,2.22043
12.0,12,2.223849
11.0,11,2.226988
12.0,12,2.230373
12.0,12,2.233799
12.0,12,2.237182
11.0,11,2.448781
12.0,12,2.452152
13.0,13,2.455785
13.0,13,2.459416
11.0,11,2.462492
11.0,11,2.46558
12.0,12,2.468916
12.0,12,2.472295
11.0,11,2.475404
11.0,11,2.478496
8.0,8,5.940333
8.0,8,5.942894
8.0,8,5.945375
7.0,7,5.947608
8.0,8,5.950073
8.0,8,5.952488
8.0,8,5.954883
8.0,8,5.957277
8.0,8,5.959676
