#{"t_start": 1663308840.9815514, "env_id": "PredatorPrey-v0"}
r,l,t
-10.0,100,1.653937
-10.0,100,1.680397
-10.0,100,1.706621
-10.0,100,1.732877
-1.2,23,1.738977
-10.0,100,1.765208
-10.0,100,1.791403
-10.0,100,1.817691
-10.0,100,1.844215
-10.0,100,1.870507
-10.0,100,1.896723
-10.0,100,1.922806
-10.0,100,1.948833
-10.0,100,1.974834
-10.0,100,2.000814
-10.0,100,2.026847
-10.0,100,2.052865
-10.0,100,2.07888
-10.0,100,2.104898
-10.0,100,2.131019
-10.0,100,2.157081
-10.0,100,2.183082
-10.0,100,2.209183
-10.0,100,2.235123
-10.0,100,2.26113
-10.0,100,2.287173
-10.0,100,2.313229
-10.0,100,2.339231
-10.0,100,2.365206
-10.0,100,2.391414
-10.0,100,2.417411
-10.0,100,2.443408
-10.0,100,2.469487
-10.0,100,2.495601
-10.0,100,2.521652
-10.0,100,2.547689
-10.0,100,2.573702
-10.0,100,2.599734
-10.0,100,2.625754
-10.0,100,2.651757
-10.0,100,2.677745
-10.0,100,2.703744
-10.0,100,2.729724
-10.0,100,2.755781
-10.0,100,2.781864
-10.0,100,2.807957
-10.0,100,2.834035
-10.0,100,2.860639
-10.0,100,2.887222
-10.0,100,2.913364
-10.0,100,2.939388
-10.0,100,2.965365
-10.0,100,2.991326
-10.0,100,3.017546
-10.0,100,3.043543
-10.0,100,3.06956
-10.0,100,3.095539
-10.0,100,3.121617
-10.0,100,3.147679
-10.0,100,3.17374
-10.0,100,3.199811
-10.0,100,3.225836
-10.0,100,3.251877
-10.0,100,3.277887
-10.0,100,3.303897
-4.1,52,3.317492
-10.0,100,3.343486
-10.0,100,3.369637
-10.0,100,3.395714
-10.0,100,3.42173
-10.0,100,3.447741
-10.0,100,3.473743
-10.0,100,3.499797
-10.0,100,3.525811
-10.0,100,3.551811
-10.0,100,3.577818
-10.0,100,3.604523
-10.0,100,3.630626
-10.0,100,3.656645
-10.0,100,3.682623
-10.0,100,3.708606
-10.0,100,3.734791
-10.0,100,3.760803
-10.0,100,3.786889
-10.0,100,3.812945
-10.0,100,3.839027
-10.0,100,3.865053
-8.3,94,3.889728
-10.0,100,3.91633
-10.0,100,3.942777
-10.0,100,3.969443
-10.0,100,3.995442
-10.0,100,4.021483
-10.0,100,4.047454
-10.0,100,4.073404
-10.0,100,4.09945
-10.0,100,4.125534
-10.0,100,4.151635
-10.0,100,4.177613
-10.0,100,4.203627
-10.0,100,22.686025
-10.0,100,22.711978
-10.0,100,22.738022
-10.0,100,22.764224
-10.0,100,22.79044
-7.4,85,22.812736
-10.0,100,22.83916
-10.0,100,22.865431
-10.0,100,22.891879
-10.0,100,22.918217
-10.0,100,22.944453
-10.0,100,22.970715
-10.0,100,22.997174
-10.0,100,23.023539
-10.0,100,23.049724
-10.0,100,23.075921
-10.0,100,23.102093
-10.0,100,23.128334
-10.0,100,23.154526
-10.0,100,23.180752
-10.0,100,23.206989
-10.0,100,23.233199
-10.0,100,23.259462
-10.0,100,23.285797
-10.0,100,23.312094
-10.0,100,23.338371
-10.0,100,23.364507
-10.0,100,23.392979
-10.0,100,23.419274
-10.0,100,23.44547
-10.0,100,23.471596
-10.0,100,23.497739
-10.0,100,23.523875
-10.0,100,23.550107
-10.0,100,23.576394
-10.0,100,23.602489
-10.0,100,23.62865
-10.0,100,23.654838
-10.0,100,23.681023
-10.0,100,23.707178
-10.0,100,23.733319
-10.0,100,23.759431
-10.0,100,23.78557
-10.0,100,23.811712
-10.0,100,23.837848
-10.0,100,23.86398
-10.0,100,23.890167
-10.0,100,23.916337
-10.0,100,23.942591
-3.9,50,23.95579
-10.0,100,23.982031
-10.0,100,24.008181
-10.0,100,24.034334
-10.0,100,24.060565
-3.6,47,24.072903
-10.0,100,24.099055
-10.0,100,24.125309
-10.0,100,24.15157
-10.0,100,24.177767
-10.0,100,24.204065
0.8,3,24.204939
-10.0,100,24.231137
-10.0,100,24.257278
-10.0,100,24.283483
-10.0,100,24.30973
-10.0,100,24.335958
-10.0,100,24.362149
-10.0,100,24.388381
-10.0,100,24.414679
-10.0,100,24.44146
-10.0,100,24.467665
-10.0,100,24.493792
-10.0,100,24.519891
-10.0,100,24.546064
-6.3,74,24.565475
-10.0,100,24.591631
-10.0,100,24.617736
-10.0,100,24.643919
-10.0,100,24.670067
-10.0,100,24.696183
-10.0,100,24.722339
-10.0,100,24.748454
-10.0,100,24.774542
-10.0,100,24.800882
-10.0,100,24.827057
-10.0,100,24.853119
-10.0,100,24.879276
-10.0,100,24.905459
-10.0,100,24.931565
-10.0,100,24.957673
-10.0,100,24.983782
-10.0,100,25.009887
-10.0,100,25.036059
-10.0,100,25.062294
-10.0,100,25.088531
-10.0,100,25.114663
-10.0,100,25.140859
-6.6,77,25.161039
-10.0,100,25.18732
-10.0,100,25.213531
-10.0,100,43.576898
-10.0,100,43.602857
-0.5,16,43.607075
-10.0,100,43.632886
-10.0,100,43.658697
-10.0,100,43.684588
-10.0,100,43.710493
-10.0,100,43.736381
-10.0,100,43.76223
-10.0,100,43.78808
-10.0,100,43.813956
-10.0,100,43.83982
-10.0,100,43.865695
-10.0,100,43.891573
-10.0,100,43.917813
-10.0,100,43.943827
-10.0,100,43.969851
-10.0,100,43.995736
-10.0,100,44.021666
-10.0,100,44.04758
-10.0,100,44.073423
-10.0,100,44.099206
-10.0,100,44.125071
-0.6,17,44.12955
-10.0,100,44.155411
-10.0,100,44.181212
-10.0,100,44.207108
-10.0,100,44.232937
-10.0,100,44.258841
-10.0,100,44.284724
-10.0,100,44.310545
-10.0,100,44.336448
-10.0,100,44.362222
-10.0,100,44.388139
-10.0,100,44.414047
-10.0,100,44.439878
-10.0,100,44.465762
-10.0,100,44.491569
-10.0,100,44.517375
-10.0,100,44.543206
-10.0,100,44.569047
-0.4,15,44.573021
-10.0,100,44.598843
-10.0,100,44.624754
-10.0,100,44.650598
-10.0,100,44.67642
-10.0,100,44.702192
-10.0,100,44.727978
-10.0,100,44.753756
-10.0,100,44.779575
-10.0,100,44.805342
-10.0,100,44.831163
-10.0,100,44.857025
-10.0,100,44.882879
-10.0,100,44.908781
-10.0,100,44.934617
-10.0,100,44.96055
-10.0,100,44.986435
-10.0,100,45.012327
-2.7,38,45.022207
-10.0,100,45.048079
-10.0,100,45.073894
-10.0,100,45.0997
-6.7,78,45.119838
0.6,5,45.121198
-10.0,100,45.147056
-10.0,100,45.172901
-10.0,100,45.198807
-10.0,100,45.224615
-10.0,100,45.250527
-10.0,100,45.276462
-10.0,100,45.302387
-10.0,100,45.328231
-10.0,100,45.354209
-10.0,100,45.38006
-10.0,100,45.406034
-10.0,100,45.431993
-10.0,100,45.458069
-0.3,14,45.461811
-10.0,100,45.487687
-10.0,100,45.513607
-10.0,100,45.539493
-10.0,100,45.565418
-10.0,100,45.59131
-7.1,82,45.612573
0.9,2,45.613167
0.1,10,45.615841
-0.9,20,45.62111
-10.0,100,45.647
-10.0,100,45.672915
-10.0,100,45.698979
-10.0,100,45.724793
-10.0,100,45.75069
-10.0,100,45.77656
-10.0,100,45.802493
-10.0,100,45.828329
-10.0,100,45.854184
-10.0,100,45.880046
-10.0,100,45.905882
-10.0,100,45.931768
-10.0,100,64.32866
-10.0,100,64.355198
-10.0,100,64.381603
-10.0,100,64.408141
-10.0,100,64.435092
-10.0,100,64.461591
-10.0,100,64.487954
-10.0,100,64.51424
-10.0,100,64.540565
-10.0,100,64.566906
-10.0,100,64.593299
-2.4,35,64.602633
-10.0,100,64.628994
-10.0,100,64.65542
-10.0,100,64.681775
-10.0,100,64.708116
-10.0,100,64.734523
-10.0,100,64.760823
-8.4,95,64.786025
-10.0,100,64.812319
-0.1,12,64.815558
-10.0,100,64.841887
-10.0,100,64.868209
-10.0,100,64.894526
-10.0,100,64.920821
0.4,7,64.922754
-10.0,100,64.949077
-10.0,100,64.975483
-10.0,100,65.001831
-10.0,100,65.028136
-10.0,100,65.054482
-10.0,100,65.080816
-2.1,32,65.089337
-10.0,100,65.115699
-10.0,100,65.142087
-10.0,100,65.168452
-10.0,100,65.194869
-10.0,100,65.221194
-10.0,100,65.247625
-10.0,100,65.274035
-10.0,100,65.300391
-2.5,36,65.309964
-10.0,100,65.33635
-10.0,100,65.362717
-10.0,100,65.389166
-10.0,100,65.415562
-10.0,100,65.441974
-10.0,100,65.468413
-10.0,100,65.494786
-10.0,100,65.521124
-10.0,100,65.54746
-10.0,100,65.57389
-10.0,100,65.600173
-10.0,100,65.626485
-10.0,100,65.652866
-10.0,100,65.679185
-10.0,100,65.705671
-10.0,100,65.73206
-10.0,100,65.758396
-10.0,100,65.784757
-10.0,100,65.811055
-10.0,100,65.837396
-10.0,100,65.863706
-10.0,100,65.890071
-10.0,100,65.916459
-10.0,100,65.942979
-10.0,100,65.969335
-10.0,100,65.995644
-10.0,100,66.02178
-10.0,100,66.047803
-10.0,100,66.073835
-0.5,16,66.078079
-10.0,100,66.104099
-10.0,100,66.130146
-10.0,100,66.156133
-10.0,100,66.182163
-10.0,100,66.208395
-10.0,100,66.234363
-10.0,100,66.260355
-10.0,100,66.286469
0.8,3,66.287338
-10.0,100,66.313323
-10.0,100,66.339308
-10.0,100,66.365331
-10.0,100,66.391304
-10.0,100,66.417416
-10.0,100,66.443505
-10.0,100,66.469715
-10.0,100,66.496181
-10.0,100,66.522525
-10.0,100,66.548886
-10.0,100,66.575263
-10.0,100,66.601774
-1.8,29,66.609518
-2.3,34,66.618557
-10.0,100,66.644921
-10.0,100,66.671339
-0.8,19,66.676424
-10.0,100,66.702817
-10.0,100,66.729349
-10.0,100,85.20097
-7.8,89,85.224083
-10.0,100,85.250142
-10.0,100,85.276494
0.1,10,85.279193
-2.7,38,85.289244
-10.0,100,85.315495
-0.7,18,85.3203
-0.6,17,85.324833
-10.0,100,85.351104
-10.0,100,85.37742
-10.0,100,85.403649
-10.0,100,85.42987
-0.5,16,85.434154
-10.0,100,85.460466
-10.0,100,85.486752
-0.2,13,85.490272
-10.0,100,85.51659
-10.0,100,85.542868
-10.0,100,85.56905
