#{"t_start": 1662668501.254967, "env_id": "Swimmer10-v3"}
r,l,t
-77.031844,1000,5.035214
-76.621303,1000,5.725821
-76.316695,1000,6.433655
-76.648924,1000,7.056496
-76.278817,1000,7.741933
-76.087776,1000,8.339985
-76.384598,1000,9.037717
-76.41297,1000,9.641588
-76.752086,1000,10.232741
-76.251006,1000,10.836434
-15.171379,1000,131.939087
-13.889385,1000,132.511486
-14.068084,1000,133.13891
-18.959222,1000,133.829974
-10.816439,1000,134.438069
-9.890421,1000,135.056392
-8.896378,1000,135.695949
-12.195221,1000,136.266425
-19.33526,1000,136.826748
-13.253449,1000,137.363056
-14.681414,1000,258.325439
-13.436242,1000,258.902097
-14.750824,1000,259.465323
-16.353751,1000,260.045024
-13.595475,1000,260.619859
-16.216688,1000,261.178977
-15.314441,1000,261.7443
-14.773352,1000,262.384584
-15.25604,1000,262.97284
-17.172049,1000,263.573017
-0.397675,1000,386.422948
-1.453853,1000,387.062409
2.268334,1000,387.771882
2.289239,1000,388.374675
0.58677,1000,388.881094
1.348439,1000,389.482653
0.598007,1000,390.080351
0.173287,1000,390.72453
-0.361243,1000,391.272631
0.454798,1000,391.925743
9.251571,1000,511.687117
9.612856,1000,512.174855
6.539575,1000,512.763623
6.083541,1000,513.365369
7.636456,1000,513.960983
7.021663,1000,514.567433
6.810884,1000,515.075806
7.527917,1000,515.653453
4.685208,1000,516.275455
7.720013,1000,516.839368
35.634865,1000,639.238671
38.146053,1000,639.802084
36.400174,1000,640.381389
34.544488,1000,640.956984
31.902893,1000,641.539982
38.053174,1000,642.167359
34.47422,1000,642.757385
41.297702,1000,643.318602
34.045392,1000,643.87931
41.154119,1000,644.459133
12.403815,1000,765.405983
12.580899,1000,766.060572
12.913614,1000,766.686871
15.541427,1000,767.289714
13.583059,1000,767.87398
12.119283,1000,768.458714
13.938125,1000,769.088025
13.346542,1000,769.700568
15.862466,1000,770.300634
15.509904,1000,770.806226
33.603548,1000,893.298069
37.749544,1000,893.839578
23.165848,1000,894.421451
34.951252,1000,895.066352
25.444848,1000,895.721311
27.287437,1000,896.2928
22.133026,1000,896.862626
32.805551,1000,897.480848
34.216491,1000,898.145682
28.02045,1000,898.747347
35.747613,1000,1029.530234
41.584178,1000,1030.168206
42.303947,1000,1030.765556
44.97166,1000,1031.405789
42.087705,1000,1031.994429
37.424958,1000,1032.590852
37.662363,1000,1033.153621
37.21173,1000,1033.801544
41.817345,1000,1034.437147
40.13048,1000,1035.021804
190.995911,1000,1170.864694
189.390461,1000,1171.507724
185.062102,1000,1172.105019
188.38837,1000,1172.693757
186.727945,1000,1173.268835
184.445295,1000,1173.871696
187.376634,1000,1174.394011
191.950128,1000,1174.984518
188.862222,1000,1175.5812
189.011684,1000,1176.197858
328.759262,1000,1312.729648
329.771679,1000,1313.385004
327.726313,1000,1313.952574
329.347941,1000,1314.526807
329.91163,1000,1315.115492
329.017374,1000,1315.700182
329.132357,1000,1316.31391
328.877281,1000,1317.013561
325.949975,1000,1317.624346
328.401524,1000,1318.23817
341.871915,1000,1454.189105
340.840921,1000,1454.783044
344.028852,1000,1455.374458
342.117485,1000,1456.008412
341.966962,1000,1456.572631
0.55503,1000,1457.189988
342.633864,1000,1457.812275
345.026803,1000,1458.385703
340.996879,1000,1458.975974
0.621577,1000,1459.540092
360.610072,1000,1599.559975
359.93068,1000,1600.198636
359.880268,1000,1600.812117
360.637415,1000,1601.447625
360.46567,1000,1602.008929
360.029091,1000,1602.655785
360.137698,1000,1603.225941
359.623818,1000,1603.817168
360.044601,1000,1604.360043
360.67809,1000,1604.942116
361.796809,1000,1740.522402
361.664687,1000,1741.092113
361.29944,1000,1741.683211
361.300946,1000,1742.278693
361.673022,1000,1742.882483
361.289924,1000,1743.474899
361.495948,1000,1744.145486
361.505269,1000,1744.81949
361.579086,1000,1745.424603
361.388665,1000,1746.047853
372.283186,1000,1888.289474
372.294763,1000,1888.892453
372.496114,1000,1889.409589
371.962932,1000,1889.9494
371.823542,1000,1890.569362
372.946342,1000,1891.163124
371.787418,1000,1891.741646
372.092447,1000,1892.363915
372.319293,1000,1892.925028
371.697799,1000,1893.476108
398.745097,1000,2039.084709
398.132568,1000,2039.717851
398.342404,1000,2040.287225
398.65153,1000,2040.863914
398.523046,1000,2041.469163
398.422619,1000,2042.079542
398.40282,1000,2042.721259
398.666122,1000,2043.323847
398.884842,1000,2043.908185
398.768451,1000,2044.57499
392.396227,1000,2193.807785
392.665767,1000,2194.477813
392.880732,1000,2195.051773
393.029589,1000,2195.670125
392.943179,1000,2196.261877
392.513812,1000,2196.839212
392.421358,1000,2197.434377
392.607029,1000,2198.082404
392.271777,1000,2198.752585
392.911391,1000,2199.430178
399.296976,1000,2351.027927
399.512626,1000,2351.672174
400.118334,1000,2352.250602
400.243879,1000,2352.852744
400.098925,1000,2353.43016
399.43121,1000,2354.091058
400.00592,1000,2354.728109
399.698326,1000,2355.36355
399.034722,1000,2355.983197
400.049269,1000,2356.56947
408.585865,1000,2515.303453
408.16722,1000,2515.895624
408.726812,1000,2516.530412
408.31095,1000,2517.153915
407.504006,1000,2517.693628
407.362787,1000,2518.270925
408.243957,1000,2518.951092
407.745039,1000,2519.587788
408.248414,1000,2520.192516
407.533889,1000,2520.811932
418.045701,1000,2684.285587
417.996817,1000,2684.884307
417.996128,1000,2685.490206
418.008191,1000,2686.05871
417.846935,1000,2686.648612
417.922166,1000,2687.231127
417.951585,1000,2687.838593
417.845435,1000,2688.430049
417.937726,1000,2689.040493
417.614272,1000,2689.635716
407.857569,1000,2855.327348
407.909119,1000,2856.015438
407.806471,1000,2856.660451
407.067514,1000,2857.25944
407.772753,1000,2857.864116
408.078079,1000,2858.485521
407.118293,1000,2859.063298
408.033736,1000,2859.702358
407.316539,1000,2860.385885
407.532807,1000,2861.019435
407.952536,1000,3031.201596
408.036188,1000,3031.825846
407.874536,1000,3032.426319
408.079887,1000,3032.999414
408.17746,1000,3033.642036
408.105341,1000,3034.273199
408.224306,1000,3034.903153
408.307843,1000,3035.499798
408.020971,1000,3036.149027
408.542772,1000,3036.868816
413.315463,1000,3213.042103
412.431577,1000,3213.68219
412.892096,1000,3214.317028
412.740963,1000,3215.021064
411.943108,1000,3215.603752
411.951955,1000,3216.196207
413.013625,1000,3216.754914
411.833176,1000,3217.316878
412.882496,1000,3217.871867
412.378259,1000,3218.461767
393.354896,1000,3395.31553
392.93828,1000,3395.954851
393.195209,1000,3396.680122
392.945757,1000,3397.284963
393.711881,1000,3397.8905
393.483028,1000,3398.47608
393.119901,1000,3399.11673
392.657976,1000,3399.729053
393.764317,1000,3400.382515
392.746222,1000,3400.997622
412.656092,1000,3580.996708
413.120628,1000,3581.592643
413.3547,1000,3582.178625
413.300493,1000,3582.863994
413.677564,1000,3583.460836
412.934896,1000,3584.068362
413.237805,1000,3584.658656
412.930454,1000,3585.218689
412.911748,1000,3585.771726
413.142246,1000,3586.374554
422.67893,1000,3767.71832
423.198326,1000,3768.344279
423.40833,1000,3768.958409
423.127099,1000,3769.58241
422.985185,1000,3770.258604
423.247656,1000,3770.938273
423.171598,1000,3771.542625
423.070648,1000,3772.227562
423.35705,1000,3772.777026
423.314172,1000,3773.360012
422.515468,1000,3956.656082
422.281807,1000,3957.231239
422.489987,1000,3957.845582
422.141883,1000,3958.465412
422.454028,1000,3959.078245
421.636919,1000,3959.669768
421.855369,1000,3960.331239
421.926796,1000,3961.021088
422.485976,1000,3961.65129
421.963777,1000,3962.230617
420.285904,1000,4147.744019
419.411183,1000,4148.37131
420.671628,1000,4149.070885
420.048199,1000,4149.621179
420.250868,1000,4150.234485
419.602961,1000,4150.862484
419.445835,1000,4151.490218
419.445336,1000,4152.196603
419.994654,1000,4152.850631
419.906651,1000,4153.481209
427.380718,1000,4338.159471
426.535568,1000,4338.739686
426.944517,1000,4339.345915
425.987287,1000,4340.004128
426.153171,1000,4340.577951
426.844775,1000,4341.174566
426.416944,1000,4341.809896
426.750624,1000,4342.372195
426.49105,1000,4342.958577
427.013532,1000,4343.542713
420.361785,1000,4532.964831
420.103434,1000,4533.603794
420.050107,1000,4534.208621
419.74343,1000,4534.825896
419.68351,1000,4535.483555
419.594127,1000,4536.100405
419.514931,1000,4536.795819
419.467113,1000,4537.465436
420.002626,1000,4538.101577
420.134497,1000,4538.657105
432.214484,1000,4731.512595
432.07102,1000,4732.227997
432.177639,1000,4732.982742
432.122066,1000,4733.606236
432.345378,1000,4734.366894
432.604827,1000,4734.956218
432.332019,1000,4735.575816
432.29304,1000,4736.221017
432.137655,1000,4736.86468
431.708711,1000,4737.519844
436.964641,1000,4931.065669
436.592176,1000,4931.72329
436.047883,1000,4932.26793
436.802916,1000,4932.92656
435.744321,1000,4933.587645
436.318393,1000,4934.21686
436.82832,1000,4934.838977
436.384577,1000,4935.36115
436.421661,1000,4935.978622
436.586764,1000,4936.601851
436.379191,1000,5131.219674
436.35684,1000,5131.785183
436.455382,1000,5132.342278
436.424972,1000,5132.934597
436.300777,1000,5133.535607
436.708134,1000,5134.130878
