#{"t_start": 1662437838.2891245, "env_id": "Walker2d-v3"}
r,l,t
26.065421,41,3.221703
18.71605,34,3.237276
19.313816,35,3.253204
24.471591,40,3.271417
27.942888,44,3.291502
20.328496,36,3.307853
21.433562,37,3.324828
24.818203,40,3.343131
20.355275,36,3.35951
23.608,40,3.377756
297.132208,516,151.037018
79.636968,186,151.117758
256.117547,156,151.186098
211.801388,282,151.308596
911.079396,1000,151.744445
281.756261,463,151.94577
232.941411,143,152.008494
249.762066,158,152.078161
141.174279,103,152.123119
148.315341,97,152.165518
19.969053,38,300.720099
20.882529,36,300.735898
33.01284,59,300.761408
421.818411,264,300.87641
20.398502,44,300.89548
102.649193,140,300.956029
181.821953,233,301.057755
18.216095,39,301.074919
21.915682,40,301.092376
143.128513,271,301.209989
243.446105,149,454.240267
215.255622,129,454.296538
204.277401,121,454.349509
279.858715,169,454.423747
197.398854,122,454.477179
432.191237,193,454.560941
215.034292,130,454.617852
271.821045,164,454.690115
186.872333,109,454.737662
275.821676,154,454.80441
15.605534,182,595.559018
54.843612,230,595.658348
22.560864,129,595.71436
75.414342,147,595.77818
39.462254,156,595.846006
28.005255,249,595.954131
33.414786,185,596.034412
37.803163,170,596.108097
82.230355,183,596.186759
54.651214,128,596.242163
185.301174,150,751.793073
185.564398,452,751.989123
145.254211,327,752.130631
208.149765,134,752.188265
24.117683,325,752.329397
503.725124,368,752.488114
280.576054,144,752.552404
234.388417,241,752.657036
470.393505,237,752.760837
179.255711,184,752.840248
306.685162,218,907.031292
391.389833,198,907.117137
197.359037,419,907.29822
419.996138,313,907.434309
487.806831,410,907.611409
501.316246,306,907.74384
258.937414,196,907.828102
247.594967,187,907.908717
109.467921,142,907.969972
83.273889,140,908.030618
22.902345,37,1059.87976
23.879218,38,1059.896514
502.042216,206,1059.986002
27.305607,40,1060.003623
502.853229,212,1060.095555
22.210673,36,1060.111388
511.457944,216,1060.205277
354.745713,152,1060.271616
538.730586,238,1060.374791
24.642889,38,1060.391629
726.600369,284,1245.305126
758.546503,281,1245.426959
227.078426,141,1245.488301
799.325262,251,1245.596991
1149.370334,423,1245.780734
297.513624,169,1245.854405
255.711,137,1245.91327
464.821744,196,1245.998069
824.157461,291,1246.123593
1677.909195,519,1246.347717
861.440128,340,1448.279424
278.071053,493,1448.49281
1141.993689,493,1448.706703
209.52482,315,1448.843439
233.581148,241,1448.947578
310.767264,166,1449.019218
395.749272,169,1449.092505
569.206711,221,1449.187806
379.152525,393,1449.357227
359.128154,407,1449.537071
318.628385,156,1653.310699
311.291092,149,1653.375269
318.536053,158,1653.443655
320.699824,157,1653.511696
383.153617,166,1653.583475
343.585532,155,1653.650509
354.194135,156,1653.717992
405.414154,174,1653.79322
312.84875,155,1653.860454
448.217083,176,1653.9366
1298.403127,495,1856.716327
1384.964576,510,1856.936795
1271.663855,474,1857.141643
578.620074,261,1857.254927
1116.920281,412,1857.432616
1632.710526,587,1857.686731
961.725885,380,1857.851415
1194.772137,418,1858.032493
1005.392859,374,1858.195089
925.572564,386,1858.362608
1629.000894,612,2061.463763
2588.915259,923,2061.863629
2067.338676,849,2062.23085
414.704791,181,2062.309654
370.034439,170,2062.383621
2618.1397,1000,2062.814932
1072.917392,547,2063.055069
1049.65554,407,2063.231125
655.553792,276,2063.3506
2247.462877,844,2063.715393
1535.847606,448,2272.135854
251.934786,122,2272.187987
857.675242,257,2272.298501
501.120081,189,2272.379552
700.523626,242,2272.483716
416.461568,172,2272.557637
2634.747015,859,2272.92523
485.031255,199,2273.010314
2253.922571,653,2273.289252
1228.250439,367,2273.44683
980.387557,287,2488.208342
1159.900782,309,2488.339419
2590.785013,1000,2488.761983
937.75949,273,2488.878146
937.718903,282,2488.997764
906.069208,281,2489.116547
1848.958313,495,2489.325772
2391.224683,1000,2489.749902
891.789217,262,2489.861446
595.761664,314,2489.994654
612.470928,224,2712.049821
507.785647,178,2712.125348
1390.061642,416,2712.302445
733.571188,261,2712.413238
850.027367,275,2712.529625
1166.31559,371,2712.686999
446.81096,178,2712.762778
688.096554,250,2712.868956
3010.401496,833,2713.222443
1633.26093,456,2713.417063
134.253622,84,2935.420407
2447.063943,579,2935.666422
117.478996,81,2935.700659
1704.580198,448,2935.890554
4209.575956,1000,2936.313583
1580.558987,502,2936.525857
375.656192,158,2936.59239
1691.726718,491,2936.800067
1702.622409,432,2936.983152
134.264236,86,2937.019706
3876.003266,1000,3157.085362
179.893138,95,3157.125821
2246.599086,656,3157.403825
2547.560666,786,3157.737262
160.173479,83,3157.772656
1844.260704,469,3157.970456
146.074795,78,3158.003431
2863.80521,740,3158.315751
153.470015,77,3158.34839
144.825157,79,3158.381933
3778.828171,1000,3380.024187
1643.481382,414,3380.199575
3805.959324,1000,3380.624225
2768.897028,769,3380.948852
3578.445315,1000,3381.372684
3686.725319,1000,3381.796572
3726.76348,1000,3382.21911
849.991263,336,3382.361572
3669.639549,1000,3382.783988
3620.422712,1000,3383.206596
2938.278606,675,3603.489303
4705.19497,1000,3603.912174
2798.007704,655,3604.189836
4690.602415,1000,3604.611709
2323.731374,582,3604.858814
3871.487713,842,3605.21511
2615.502916,619,3605.477446
228.486065,122,3605.529047
3453.383303,762,3605.85172
4610.042759,1000,3606.274647
2558.888493,557,3835.738846
1734.691824,397,3835.907308
2822.913992,584,3836.155064
2848.298832,588,3836.404373
1755.826407,405,3836.576374
3153.966041,664,3836.857316
3508.757477,713,3837.159041
2094.9984,468,3837.358543
5100.672814,972,3837.769575
982.56332,291,3837.893011
3718.418969,807,4058.202157
4780.829388,1000,4058.625848
4657.770286,1000,4059.049812
469.2821,205,4059.137549
4678.451275,1000,4059.560466
649.537572,295,4059.686922
614.38703,291,4059.811393
4690.76368,1000,4060.234637
4710.076388,1000,4060.658522
4050.160889,869,4061.026649
3987.266108,1000,4287.520681
2776.244602,701,4287.818824
2959.334852,750,4288.137369
3715.096479,830,4288.488583
1328.197037,384,4288.652401
3828.115848,953,4289.059394
3919.157104,1000,4289.48502
4032.667703,1000,4289.910363
1820.736272,500,4290.124807
170.33358,138,4290.18365
4531.414736,1000,4513.433315
4376.80722,1000,4513.860283
4500.417888,1000,4514.286687
2223.435273,571,4514.5302
2853.374627,655,4514.80955
125.400278,95,4514.850467
4461.840687,1000,4515.278769
3072.947388,721,4515.586579
4540.103123,1000,4516.012926
2315.376813,556,4516.249074
4404.530484,1000,4741.695765
4477.575376,1000,4742.121734
3995.453059,866,4742.490869
4457.342514,1000,4742.91774
4370.434741,1000,4743.342911
4121.386645,1000,4743.769603
598.324934,200,4743.855396
388.417052,162,4743.924773
4507.47618,1000,4744.352091
4415.748843,1000,4744.779117
4559.977091,957,4957.593837
1081.914923,319,4957.731434
4738.12087,1000,4958.16216
4667.371969,1000,4958.59251
1883.24197,467,4958.794008
4835.437893,1000,4959.225176
3875.87382,843,4959.588406
